Merchant_Category,Buyer_Category,Departments,Volume,Revenue,Transaction_Count,Average selling price,date
Low Volume,Medium Engaged,Books,290985850,12854210.27,11131483,26.14,01-09-2016 00:00
Low Volume,Very Engaged,Automotive,1567237,58620.4,59724,26.24,15-12-2016 00:00
Very Low Volume,Very Engaged,Clothing And Shoes,364786,13521.32,4870,74.9,07-12-2016 00:00
Medium Volume,Guest,Sports And Outdoors,22497917,727927.2,69901,321.85,26-08-2016 00:00
High Volume,Getting Engaged,Clothing And Shoes,19210958,656763.7,61057,314.64,27-05-2016 00:00
Non Merchant,Merchant,"Movies, Music And Games",484410253,11388254.86,3293529,147.08,03-12-2016 00:00
Inactive Merchant,Guest,Clothing And Shoes,1102,36.17,43,25.62,22-07-2016 00:00
Very Low Volume,Casual Buyer,Other,188,10.68,22,8.56,05-08-2016 00:00
High Volume,Medium Engaged,Clothing And Shoes,20382943,692162.9,69638,292.7,10-11-2016 00:00
Medium Volume,Guest,Other,137,7.44,219,0.62,09-04-2016 00:00
Very High Volume,Guest,Grocery,636683940,15749809.02,946289,672.82,05-11-2016 00:00
High Volume,Very Engaged,Clothing And Shoes,15639200,548946.73,54859,285.08,14-12-2016 00:00
New,Casual Buyer,Sports And Outdoors,4017594,122575.54,9079,442.51,03-07-2016 00:00
Non Merchant,Super Engaged,Books,557606102,21811912.92,12932685,43.12,20-08-2016 00:00
Unverified Merchant,Getting Engaged,Sports And Outdoors,470,13.93,1,470,19-08-2016 00:00
Very High Volume,Merchant,"Toys, Kids And Baby",275303221,56606.27,622807,442.04,18-07-2016 00:00
Unverified Merchant,Medium Engaged,Digital Games And Software,441,21.21,13,33.93,28-09-2016 00:00
Very High Volume,Getting Engaged,Clothing And Shoes,3732654,108901.01,8951,417.01,14-12-2016 00:00
Unverified Merchant,Low Engaged,"Movies, Music And Games",2169,54.55,15,144.61,02-09-2016 00:00
Very High Volume,Merchant,Home And Garden,328905682,7306520.68,3931652,83.66,23-06-2016 00:00
Very Low Volume,Medium Engaged,Sports And Outdoors,989623,34894.55,11426,86.61,20-09-2016 00:00
High Volume,Merchant,Books,538605489,16717620.21,5516017,97.64,03-11-2016 00:00
New,Super Engaged,Automotive,58170,2179.04,5122,11.36,25-02-2016 00:00
Non Merchant,Getting Engaged,Books,525622343,18715660.75,7341950,71.59,22-04-2016 00:00
High Volume,Super Engaged,Sports And Outdoors,19145313,647349.67,91917,208.29,12-11-2016 00:00
Very High Volume,Merchant,Automotive,594944,17074.78,47950,12.41,21-03-2016 00:00
Very High Volume,Casual Buyer,Home And Garden,209330004,4456350.52,2870630,72.92,02-10-2016 00:00
Medium Volume,Low Engaged,Other,268781,7783.85,14950,17.98,21-10-2016 00:00
Non Merchant,Very Engaged,"Movies, Music And Games",182663424,5055075.14,1635736,111.67,21-11-2016 00:00
Very High Volume,New,"Movies, Music And Games",2815438,104581.43,25459,110.59,25-07-2016 00:00
Low Volume,One-And-Done,Sports And Outdoors,10665958,339319.32,36063,295.76,26-06-2016 00:00
Inactive Merchant,Low Engaged,Automotive,56,2.22,14,3.98,04-07-2016 00:00
Very Low Volume,Guest,"Movies, Music And Games",2155,79.32,1824,1.18,04-01-2016 00:00
Medium Volume,Medium Engaged,Home And Garden,27392021,990730.12,504395,54.31,08-05-2016 00:00
Very Low Volume,Guest,Home And Garden,966550,35336.02,23468,41.19,24-09-2016 00:00
New,Very Engaged,Home And Garden,4173213,107023.76,71250,58.57,18-09-2016 00:00
Very Low Volume,Very Engaged,Digital Games And Software,2555277,109419.24,102962,24.82,23-10-2016 00:00
Very Low Volume,Merchant,Sports And Outdoors,2132861,71868.67,19073,111.83,08-10-2016 00:00
Very High Volume,Getting Engaged,Books,366000358,10082824.78,5772260,63.41,12-08-2016 00:00
Unverified Merchant,Merchant,"Movies, Music And Games",6546,146.95,95,68.91,15-07-2016 00:00
Inactive Merchant,Medium Engaged,Books,26642,759.77,699,38.11,19-11-2016 00:00
High Volume,New,Home And Garden,28343630,990869.23,574164,49.37,17-12-2016 00:00
Unverified Merchant,New,Sports And Outdoors,643,23.01,3,214.33,12-03-2016 00:00
Very High Volume,Super Engaged,Other,23691860,771460.15,1507751,15.71,16-01-2016 00:00
Low Volume,Very Engaged,Clothing And Shoes,7883529,282102.97,68135,115.7,10-02-2016 00:00
Very High Volume,Getting Engaged,Automotive,2334735,75265.41,276142,8.45,03-07-2016 00:00
Non Merchant,Super Engaged,Sports And Outdoors,19413594,689648.2,158197,122.72,27-02-2016 00:00
Low Volume,One-And-Done,Electronics And Computers,227147,8720.47,5028,45.18,05-12-2016 00:00
Low Volume,Guest,Grocery,190915600,6208857.95,1039537,183.65,10-06-2016 00:00
Inactive Merchant,Getting Engaged,"Movies, Music And Games",45128,840.21,812,55.58,15-06-2016 00:00
High Volume,Very Engaged,Other,1072118,36988.21,64899,16.52,17-04-2016 00:00
Low Volume,Merchant,Home And Garden,4064333,151332.02,73643,55.19,12-08-2016 00:00
Unverified Merchant,Getting Engaged,"Movies, Music And Games",2648,52.1,17,155.74,04-08-2016 00:00
Inactive Merchant,Super Engaged,Sports And Outdoors,412,15.12,8,51.49,24-08-2016 00:00
Inactive Merchant,Getting Engaged,Automotive,19,0,11,1.73,15-12-2016 00:00
High Volume,Medium Engaged,Sports And Outdoors,33886572,1164581.19,150239,225.55,03-06-2016 00:00
Inactive Merchant,Merchant,"Movies, Music And Games",53020,1853.24,1888,28.08,02-05-2016 00:00
New,Merchant,"Toys, Kids And Baby",10908170,10886.28,43668,249.8,04-12-2016 00:00
Low Volume,Guest,Books,341576,12927.31,32172,10.62,28-01-2016 00:00
Non Merchant,Guest,Automotive,257,8.04,2,128.29,21-06-2016 00:00
Low Volume,Guest,Electronics And Computers,3913,75.81,559,7,22-02-2016 00:00
Medium Volume,Casual Buyer,Other,88338,2560.11,4561,19.37,24-03-2016 00:00
Very Low Volume,Medium Engaged,"Movies, Music And Games",3883129,120304.97,57940,67.02,17-04-2016 00:00
Very Low Volume,Getting Engaged,Books,6678488,254645.54,163682,40.8,18-03-2016 00:00
Low Volume,Merchant,Other,8584,378.34,581,14.77,11-03-2016 00:00
Very High Volume,Low Engaged,Books,388591185,10785127.95,6601683,58.86,14-09-2016 00:00
Very High Volume,Low Engaged,"Movies, Music And Games",7987492,261154.87,54184,147.41,08-08-2016 00:00
Very High Volume,Very Engaged,"Movies, Music And Games",6612339,226447.25,47560,139.03,21-07-2016 00:00
Medium Volume,One-And-Done,Electronics And Computers,835839,31579.6,16296,51.29,06-03-2016 00:00
Very High Volume,Super Engaged,Digital Games And Software,72024376,2759041.5,2322127,31.02,22-11-2016 00:00
High Volume,Guest,Home And Garden,15237683,475280.14,210270,72.47,13-07-2016 00:00
Unverified Merchant,Very Engaged,Digital Games And Software,589,29.92,19,31.02,24-01-2016 00:00
Very High Volume,Medium Engaged,Books,378736396,10554648.99,6710329,56.44,07-10-2016 00:00
High Volume,Super Engaged,Other,610018,22537.61,34157,17.86,19-08-2016 00:00
Very High Volume,Merchant,Other,64808101,1869453.15,3001356,21.59,13-07-2016 00:00
Inactive Merchant,Very Engaged,Clothing And Shoes,2247,74.94,8,280.92,23-01-2016 00:00
Medium Volume,Merchant,Books,560136100,19874864.97,7653967,73.18,07-04-2016 00:00
Low Volume,Guest,Home And Garden,16305,479.72,2313,7.05,25-05-2016 00:00
Medium Volume,Low Engaged,Home And Garden,32756572,1181216.19,594243,55.12,26-12-2016 00:00
Low Volume,Guest,Home And Garden,11157792,387842.57,163050,68.43,19-02-2016 00:00
Low Volume,Casual Buyer,Automotive,390775,13618.47,12016,32.52,26-02-2016 00:00
High Volume,Guest,Other,952,41.51,1732,0.55,06-09-2016 00:00
Inactive Merchant,Very Engaged,Home And Garden,-12,2.03,50,-0.23,11-06-2016 00:00
Very Low Volume,Merchant,Other,218,13.01,29350,0.01,15-04-2016 00:00
Very High Volume,One-And-Done,Sports And Outdoors,1192790,36137.17,2938,405.99,09-02-2016 00:00
Very Low Volume,One-And-Done,Other,37,2.33,3,12.32,28-11-2016 00:00
Medium Volume,Medium Engaged,Sports And Outdoors,44654830,1599049.71,237815,187.77,17-08-2016 00:00
Medium Volume,Getting Engaged,Other,271818,7759.11,14104,19.27,11-11-2016 00:00
Inactive Merchant,Getting Engaged,Electronics And Computers,161,9.64,52,3.09,13-10-2016 00:00
High Volume,Guest,Sports And Outdoors,6006902,190050.07,19520,307.73,13-10-2016 00:00
High Volume,New,Automotive,972703,32529.59,25521,38.11,04-10-2016 00:00
Low Volume,New,Books,99884098,4487358.14,3904317,25.58,12-06-2016 00:00
Very Low Volume,Very Engaged,Home And Garden,207865,8499.29,7197,28.88,20-08-2016 00:00
Low Volume,One-And-Done,Clothing And Shoes,8403256,263259.18,29972,280.37,27-03-2016 00:00
Medium Volume,Guest,Electronics And Computers,300072488,9297725.12,4362928,68.78,23-11-2016 00:00
Very Low Volume,Merchant,"Toys, Kids And Baby",6620305,65959.83,450574,14.69,20-05-2016 00:00
High Volume,Medium Engaged,Digital Games And Software,168187998,6203822.26,3339977,50.36,03-10-2016 00:00
Unverified Merchant,Casual Buyer,Sports And Outdoors,3443,102.85,11,313,05-11-2016 00:00
Very High Volume,Guest,Sports And Outdoors,616130,16574.62,2647,232.77,04-06-2016 00:00
New,Very Engaged,Clothing And Shoes,1095869,34020.54,4054,270.32,10-04-2016 00:00
New,Super Engaged,Sports And Outdoors,847826,27352.14,4698,180.47,06-02-2016 00:00
Non Merchant,Medium Engaged,Automotive,7646992,200155.79,120739,63.33,23-06-2016 00:00
High Volume,Getting Engaged,Sports And Outdoors,30119435,1038358.62,129829,231.99,17-03-2016 00:00
High Volume,Very Engaged,Electronics And Computers,17499271,573524.33,330457,52.95,14-07-2016 00:00
Very Low Volume,Low Engaged,Books,7919081,312023.99,222680,35.56,05-10-2016 00:00
Very Low Volume,One-And-Done,"Movies, Music And Games",1330762,37623.82,15285,87.06,13-10-2016 00:00
Unverified Merchant,Casual Buyer,Books,3361,138.41,117,28.73,06-07-2016 00:00
Non Merchant,Very Engaged,Books,591734726,22352934.37,11344768,52.16,21-08-2016 00:00
Medium Volume,Very Engaged,Electronics And Computers,4636525,173213.21,98626,47.01,23-09-2016 00:00
Medium Volume,Super Engaged,"Movies, Music And Games",50626898,1769086.68,398223,127.13,06-11-2016 00:00
Very High Volume,Low Engaged,Other,53297403,1659839.12,3810451,13.99,06-09-2016 00:00
Medium Volume,Casual Buyer,Books,216764177,8154241.23,3638891,59.57,10-08-2016 00:00
Inactive Merchant,Medium Engaged,Sports And Outdoors,3743,64.76,31,120.73,06-03-2016 00:00
High Volume,Casual Buyer,Sports And Outdoors,15780903,537096.11,58021,271.99,27-06-2016 00:00
Medium Volume,Guest,Books,89149152,3296046.02,1692786,52.66,20-08-2016 00:00
Very High Volume,Guest,"Movies, Music And Games",415,18.23,258,1.61,28-01-2016 00:00
Medium Volume,Medium Engaged,Clothing And Shoes,24459407,865704.34,116516,209.92,01-06-2016 00:00
Very High Volume,One-And-Done,Electronics And Computers,4210399,123586.78,75492,55.77,05-08-2016 00:00
Medium Volume,Low Engaged,Clothing And Shoes,27433236,952427.38,116294,235.9,27-04-2016 00:00
High Volume,Low Engaged,Electronics And Computers,33797047,1105337.38,614379,55.01,18-07-2016 00:00
New,New,Electronics And Computers,186891,6483.35,4255,43.92,21-09-2016 00:00
New,Getting Engaged,Digital Games And Software,19552028,679418.45,321410,60.83,14-08-2016 00:00
Medium Volume,Medium Engaged,Electronics And Computers,7605366,282530.44,158644,47.94,16-11-2016 00:00
Unverified Merchant,Medium Engaged,"Movies, Music And Games",1520,23.03,24,63.33,23-07-2016 00:00
Inactive Merchant,Low Engaged,Sports And Outdoors,3175,122.78,49,64.8,16-08-2016 00:00
Low Volume,Very Engaged,Sports And Outdoors,12528680,463646.05,129632,96.65,03-03-2016 00:00
Very High Volume,Super Engaged,Home And Garden,152056265,3393556.46,2469381,61.58,01-10-2016 00:00
Very Low Volume,New,Books,3303745,135717.14,117078,28.22,10-04-2016 00:00
Very High Volume,Merchant,Clothing And Shoes,16148064,409262.05,17054,946.88,09-01-2016 00:00
Low Volume,Guest,Clothing And Shoes,25473057,797722.36,91744,277.65,18-04-2016 00:00
Non Merchant,Medium Engaged,Digital Games And Software,24067612,972721.17,636058,37.84,06-05-2016 00:00
Non Merchant,Getting Engaged,Clothing And Shoes,19481005,618035.35,88483,220.17,19-08-2016 00:00
High Volume,Guest,"Movies, Music And Games",5624,223.01,2050,2.74,25-12-2016 00:00
High Volume,Getting Engaged,Electronics And Computers,33631044,1106011.87,596351,56.39,18-08-2016 00:00
Medium Volume,Guest,Grocery,662038636,20360676.62,2290579,289.03,04-09-2016 00:00
Very High Volume,Very Engaged,Automotive,936892,27655.37,58991,15.88,04-10-2016 00:00
Non Merchant,Very Engaged,Automotive,5426609,146996.47,94074,57.68,25-05-2016 00:00
Very Low Volume,Super Engaged,Books,7225311,312702.3,290356,24.88,27-09-2016 00:00
Inactive Merchant,Casual Buyer,Sports And Outdoors,9509,143.1,46,206.72,18-06-2016 00:00
Medium Volume,Casual Buyer,Automotive,727680,25130.83,16170,45,25-01-2016 00:00
Unverified Merchant,Merchant,Sports And Outdoors,103,3.59,2,51.5,15-12-2016 00:00
Inactive Merchant,Low Engaged,Digital Games And Software,16880,556.28,965,17.49,07-09-2016 00:00
High Volume,One-And-Done,Clothing And Shoes,4182053,133963.82,10422,401.27,04-07-2016 00:00
New,Medium Engaged,Home And Garden,7646192,198398.74,133416,57.31,27-12-2016 00:00
Low Volume,Casual Buyer,Home And Garden,5587342,209615.7,103260,54.11,25-11-2016 00:00
New,Merchant,Electronics And Computers,309801,9764.36,5517,56.15,10-04-2016 00:00
Very High Volume,Merchant,Digital Games And Software,169435055,5115346.39,2369983,71.49,15-01-2016 00:00
Non Merchant,Guest,Electronics And Computers,32,2.14,5,6.39,12-05-2016 00:00
Inactive Merchant,Medium Engaged,Digital Games And Software,11366,339.32,670,16.96,15-02-2016 00:00
Very Low Volume,Merchant,Clothing And Shoes,1522937,50253.62,13725,110.96,25-02-2016 00:00
Inactive Merchant,Merchant,Automotive,-21,0,17,-1.25,07-04-2016 00:00
High Volume,Guest,Sports And Outdoors,86676,1255,635,136.5,19-12-2016 00:00
Very Low Volume,Low Engaged,Digital Games And Software,6320512,256179.41,223019,28.34,12-12-2016 00:00
Very High Volume,Guest,Other,2638,63.01,262,10.07,20-12-2016 00:00
High Volume,Medium Engaged,Home And Garden,86677773,2755412.38,1689788,51.3,14-11-2016 00:00
High Volume,Medium Engaged,Other,1643705,53675.87,100084,16.42,20-03-2016 00:00
New,One-And-Done,Automotive,8924,415.83,161,55.43,26-03-2016 00:00
High Volume,Very Engaged,Books,572423138,20129126.61,9836605,58.19,27-04-2016 00:00
New,Guest,Grocery,95101042,2716567.92,212324,447.91,26-04-2016 00:00
High Volume,Getting Engaged,Automotive,2206248,70530.74,48060,45.91,19-01-2016 00:00
High Volume,Casual Buyer,Digital Games And Software,102724181,3639614.61,1600893,64.17,18-06-2016 00:00
High Volume,Medium Engaged,Books,749958451,26157959.12,12545752,59.78,20-05-2016 00:00
Non Merchant,Low Engaged,Digital Games And Software,29599991,1167944.11,722379,40.98,06-09-2016 00:00
Very High Volume,Super Engaged,"Movies, Music And Games",4536807,155065.72,40516,111.98,23-06-2016 00:00
Very High Volume,Medium Engaged,"Movies, Music And Games",8352330,278958.73,57529,145.18,10-05-2016 00:00
Medium Volume,Casual Buyer,Home And Garden,14963130,552860.93,254287,58.84,09-10-2016 00:00
Low Volume,Getting Engaged,Books,189922316,8024159.48,6262963,30.32,22-09-2016 00:00
Very Low Volume,Super Engaged,Sports And Outdoors,349552,13197.45,5583,62.61,05-02-2016 00:00
Unverified Merchant,Casual Buyer,Digital Games And Software,75,2.78,2,37.5,02-07-2016 00:00
Very High Volume,Low Engaged,Electronics And Computers,52530623,1510241.87,1039603,50.53,28-05-2016 00:00
Low Volume,Getting Engaged,Digital Games And Software,134392966,4978770.62,2839264,47.33,05-11-2016 00:00
Very High Volume,Guest,Clothing And Shoes,21142,250.68,82,257.83,28-12-2016 00:00
Low Volume,New,Sports And Outdoors,17613685,582173.52,81358,216.5,08-03-2016 00:00
High Volume,Low Engaged,Sports And Outdoors,32790705,1132610.08,144264,227.3,23-03-2016 00:00
Non Merchant,New,Digital Games And Software,21618880,831848.36,436106,49.57,27-06-2016 00:00
High Volume,Guest,Automotive,28,1.11,1,27.98,25-04-2016 00:00
Inactive Merchant,Guest,Grocery,4388,150.28,221,19.85,13-11-2016 00:00
Medium Volume,Low Engaged,"Movies, Music And Games",101859324,2995709.21,459734,221.56,05-08-2016 00:00
Inactive Merchant,Very Engaged,Digital Games And Software,1327,92.51,300,4.42,21-10-2016 00:00
Very High Volume,New,Clothing And Shoes,1202254,35559.19,3216,373.84,21-05-2016 00:00
Inactive Merchant,Merchant,"Toys, Kids And Baby",20802,128.32,541,38.45,13-07-2016 00:00
Medium Volume,Guest,Clothing And Shoes,17403072,556086.39,54248,320.81,03-08-2016 00:00
Very High Volume,Medium Engaged,Other,62409476,1894250.08,4816902,12.96,26-11-2016 00:00
New,Medium Engaged,"Movies, Music And Games",6313441,173476.94,27256,231.63,13-02-2016 00:00
New,Guest,"Movies, Music And Games",35578,546.4,1273,27.95,24-09-2016 00:00
Inactive Merchant,New,Books,10761,413.41,464,23.19,23-05-2016 00:00
Unverified Merchant,Super Engaged,"Movies, Music And Games",140,5.4,6,23.25,15-06-2016 00:00
Inactive Merchant,New,"Movies, Music And Games",43148,778.38,714,60.43,11-08-2016 00:00
Medium Volume,One-And-Done,Books,62340223,2269616.11,892020,69.89,01-10-2016 00:00
New,Casual Buyer,"Movies, Music And Games",5530358,147269.21,20647,267.85,03-12-2016 00:00
Unverified Merchant,One-And-Done,"Movies, Music And Games",563,10.98,7,80.39,15-12-2016 00:00
New,Casual Buyer,Home And Garden,3801505,105442.02,63145,60.2,22-11-2016 00:00
Low Volume,Merchant,Clothing And Shoes,30934324,999620.94,136365,226.85,12-12-2016 00:00
Very High Volume,Very Engaged,Digital Games And Software,113863270,4248065.31,3477309,32.74,26-02-2016 00:00
High Volume,Getting Engaged,Digital Games And Software,212943496,7681571.7,3784404,56.27,13-09-2016 00:00
Medium Volume,One-And-Done,Other,11590,352.09,748,15.49,14-04-2016 00:00
Low Volume,Low Engaged,Other,30705,1328.56,2048,14.99,16-04-2016 00:00
Inactive Merchant,Merchant,Books,33273,814.51,639,52.07,11-05-2016 00:00
Unverified Merchant,Merchant,Digital Games And Software,636,23.68,7,90.91,11-05-2016 00:00
New,Medium Engaged,Electronics And Computers,526656,17378.18,11944,44.09,19-09-2016 00:00
Low Volume,Getting Engaged,Sports And Outdoors,31865749,1067134.01,166440,191.45,19-03-2016 00:00
New,One-And-Done,Sports And Outdoors,1775471,54017.49,4244,418.35,26-08-2016 00:00
Low Volume,Very Engaged,Digital Games And Software,44084060,1821375.13,1280608,34.42,22-06-2016 00:00
High Volume,One-And-Done,Other,50563,1517.6,3268,15.47,02-01-2016 00:00
Inactive Merchant,Guest,Electronics And Computers,10713,473.61,1844,5.81,21-02-2016 00:00
Low Volume,Low Engaged,Electronics And Computers,1960034,75912.77,46773,41.91,01-08-2016 00:00
Very High Volume,Guest,Digital Games And Software,176079,4190.48,56543,3.11,28-02-2016 00:00
Medium Volume,New,Digital Games And Software,99541877,3774801.43,1595350,62.4,15-03-2016 00:00
Very Low Volume,Merchant,Electronics And Computers,27824,1206.2,143830,0.19,01-08-2016 00:00
Low Volume,Very Engaged,"Movies, Music And Games",35783146,1174115.39,414382,86.35,07-07-2016 00:00
New,One-And-Done,Clothing And Shoes,1938199,58303.74,4800,403.79,05-12-2016 00:00
Medium Volume,Guest,Sports And Outdoors,181108,2857.86,1277,141.82,10-11-2016 00:00
Very Low Volume,Medium Engaged,Other,710,43.58,70,10.14,28-03-2016 00:00
Low Volume,Low Engaged,Home And Garden,9651197,362895.97,197540,48.86,03-05-2016 00:00
Medium Volume,Super Engaged,Books,626278861,25892476.38,15701060,39.89,12-11-2016 00:00
Very High Volume,New,Sports And Outdoors,2852596,93896.65,12559,227.14,03-05-2016 00:00
Low Volume,Medium Engaged,Sports And Outdoors,18969383,674573.79,158864,119.41,22-06-2016 00:00
Medium Volume,One-And-Done,Sports And Outdoors,11560400,380445.93,34639,333.74,06-11-2016 00:00
Non Merchant,Low Engaged,Books,615504941,22375237.11,9748952,63.14,13-01-2016 00:00
Very Low Volume,Casual Buyer,Sports And Outdoors,1430221,48570.06,12775,111.95,10-11-2016 00:00
Very Low Volume,Very Engaged,Books,7500519,310360.24,257368,29.14,23-12-2016 00:00
Very Low Volume,Guest,Electronics And Computers,2101125,80394.08,102974,20.4,14-04-2016 00:00
Very Low Volume,Medium Engaged,Digital Games And Software,4586380,190834.14,172913,26.52,03-11-2016 00:00
High Volume,Super Engaged,Clothing And Shoes,10403054,362524.21,40948,254.06,04-12-2016 00:00
High Volume,Merchant,"Toys, Kids And Baby",322553959,102315.38,980454,328.98,07-01-2016 00:00
New,Super Engaged,Electronics And Computers,144614,4830.71,3326,43.48,03-08-2016 00:00
Low Volume,Medium Engaged,Automotive,2054092,74017.12,72251,28.43,19-03-2016 00:00
Inactive Merchant,Getting Engaged,Home And Garden,32,14.67,151,0.21,17-04-2016 00:00
Very High Volume,Medium Engaged,Automotive,1704210,51571.19,127323,13.38,15-11-2016 00:00
Medium Volume,Super Engaged,Other,43730,1254.46,2728,16.03,01-01-2016 00:00
High Volume,Getting Engaged,Other,1232025,35634.33,62524,19.7,11-12-2016 00:00
New,Casual Buyer,Clothing And Shoes,3720140,113697.21,8974,414.55,28-02-2016 00:00
Inactive Merchant,Merchant,Home And Garden,-77,1.18,452,-0.17,23-07-2016 00:00
Very High Volume,Super Engaged,Automotive,375859,10904.21,19780,19,16-03-2016 00:00
Unverified Merchant,Casual Buyer,"Movies, Music And Games",676,20.96,9,75.11,08-02-2016 00:00
Very Low Volume,New,Sports And Outdoors,1164330,40662.18,10649,109.34,03-07-2016 00:00
Inactive Merchant,Casual Buyer,Books,17751,340.78,280,63.4,26-12-2016 00:00
Very Low Volume,Guest,Automotive,298,9.71,29,10.27,04-02-2016 00:00
Medium Volume,New,Books,236770832,9639955.17,5123196,46.22,12-06-2016 00:00
Very Low Volume,Merchant,Automotive,118091,1855.35,155114,0.76,05-05-2016 00:00
Medium Volume,Low Engaged,Books,611104133,24089414.6,12785995,47.79,25-07-2016 00:00
Very Low Volume,Very Engaged,Sports And Outdoors,580492,21278.88,7373,78.73,21-03-2016 00:00
Very High Volume,Super Engaged,Electronics And Computers,12070404,364005.98,252106,47.88,05-11-2016 00:00
Non Merchant,Casual Buyer,Books,228460208,7887686.36,2641844,86.48,17-02-2016 00:00
Very Low Volume,Super Engaged,Clothing And Shoes,203971,7638.76,3095,65.9,01-10-2016 00:00
Very Low Volume,Getting Engaged,Other,377,25.13,46,8.2,21-10-2016 00:00
Non Merchant,Getting Engaged,Automotive,5985962,151704.64,80110,74.72,15-03-2016 00:00
Low Volume,Merchant,Electronics And Computers,834212,31374.72,18191,45.86,24-06-2016 00:00
Inactive Merchant,Super Engaged,Books,14887,671.16,576,25.85,21-04-2016 00:00
Medium Volume,One-And-Done,Digital Games And Software,37210413,1311171.87,517734,71.87,05-12-2016 00:00
Very Low Volume,New,Home And Garden,344918,13877.91,11770,29.3,20-07-2016 00:00
Inactive Merchant,Super Engaged,Clothing And Shoes,57,3.51,10,5.7,15-11-2016 00:00
Unverified Merchant,Guest,Books,637,27.37,29,21.96,03-04-2016 00:00
Inactive Merchant,New,Automotive,0,-0.01,3,-0.13,05-02-2016 00:00
Non Merchant,Getting Engaged,"Movies, Music And Games",319214552,7723661.98,2047352,155.92,19-02-2016 00:00
New,New,Sports And Outdoors,3147918,93591.65,9383,335.49,13-12-2016 00:00
Very Low Volume,Getting Engaged,Automotive,111750,3042.55,2446,45.69,14-06-2016 00:00
Low Volume,New,Clothing And Shoes,13418353,428355.77,55828,240.35,26-06-2016 00:00
Medium Volume,Merchant,Sports And Outdoors,125024999,3953616.89,284605,439.29,08-03-2016 00:00
Very Low Volume,Merchant,Home And Garden,213334,8901.06,10223,20.87,21-05-2016 00:00
Low Volume,Medium Engaged,"Movies, Music And Games",52252870,1668626.52,482614,108.27,08-02-2016 00:00
New,Guest,Books,48121,1498.65,3199,15.04,20-09-2016 00:00
Inactive Merchant,One-And-Done,Sports And Outdoors,2659,76.83,23,115.62,24-10-2016 00:00
Medium Volume,New,Other,33459,1088.53,1723,19.42,10-10-2016 00:00
Non Merchant,New,Sports And Outdoors,24864600,779032.81,138511,179.51,01-12-2016 00:00
Very Low Volume,Medium Engaged,Electronics And Computers,47080,1979.51,1828,25.75,10-11-2016 00:00
Non Merchant,One-And-Done,Digital Games And Software,7760751,281957.22,143353,54.14,17-04-2016 00:00
Unverified Merchant,Very Engaged,Books,20756,1030.46,1177,17.63,17-10-2016 00:00
Very High Volume,Medium Engaged,Digital Games And Software,165677896,5973069.75,4799418,34.52,24-04-2016 00:00
Non Merchant,Low Engaged,Sports And Outdoors,46814644,1521175.77,261182,179.24,10-07-2016 00:00
New,Guest,Books,3306486,121067.62,66609,49.64,02-11-2016 00:00
Very High Volume,One-And-Done,Home And Garden,33240278,746602.26,478913,69.41,16-04-2016 00:00
Medium Volume,Merchant,Digital Games And Software,124639806,4658747.84,2086709,59.73,04-07-2016 00:00
Very High Volume,Getting Engaged,Home And Garden,627164892,13023638.36,8637853,72.61,16-04-2016 00:00
Unverified Merchant,Getting Engaged,Books,10587,458.88,498,21.26,20-11-2016 00:00
Non Merchant,Guest,Books,68662712,2388563.8,985370,69.68,17-02-2016 00:00
Non Merchant,New,Clothing And Shoes,9413049,281439.74,45486,206.94,12-01-2016 00:00
New,Low Engaged,Clothing And Shoes,2759301,86920.69,8123,339.69,05-06-2016 00:00
New,Medium Engaged,Sports And Outdoors,2616040,83508.36,9207,284.14,28-07-2016 00:00
Non Merchant,Casual Buyer,Automotive,1924146,49419.09,24180,79.58,14-10-2016 00:00
New,Getting Engaged,Electronics And Computers,689897,21731.85,13314,51.82,18-06-2016 00:00
High Volume,Casual Buyer,Home And Garden,39557268,1297139.99,680743,58.11,06-11-2016 00:00
New,Getting Engaged,Books,19649114,747955,416800,47.14,25-08-2016 00:00
Low Volume,Super Engaged,Other,6955,251.52,411,16.92,01-02-2016 00:00
Very High Volume,Getting Engaged,Digital Games And Software,162909072,5439830.72,3800084,42.87,03-10-2016 00:00
Low Volume,Casual Buyer,Other,9835,420.04,679,14.48,09-01-2016 00:00
Very Low Volume,Getting Engaged,Electronics And Computers,69047,2887.96,3518,19.63,02-04-2016 00:00
Medium Volume,Very Engaged,Clothing And Shoes,17269987,624493.04,91322,189.11,26-01-2016 00:00
Very High Volume,New,Books,153346897,4385011.34,2399170,63.92,17-07-2016 00:00
Low Volume,Medium Engaged,Home And Garden,7841528,295691.83,161927,48.43,21-05-2016 00:00
Very Low Volume,Guest,Sports And Outdoors,2419731,79260.88,19866,121.8,17-12-2016 00:00
Very Low Volume,Merchant,Digital Games And Software,3795954,157807.34,235901,16.09,14-07-2016 00:00
Unverified Merchant,Getting Engaged,Digital Games And Software,418,19.63,12,34.81,13-12-2016 00:00
Very Low Volume,One-And-Done,Electronics And Computers,8535,364.43,303,28.17,21-02-2016 00:00
Very High Volume,Casual Buyer,Digital Games And Software,62283998,2026367.29,1266685,49.17,18-09-2016 00:00
High Volume,Casual Buyer,Other,343751,9616.56,16401,20.96,05-10-2016 00:00
Medium Volume,Guest,Digital Games And Software,396002,11042.1,64575,6.13,03-05-2016 00:00
Medium Volume,Very Engaged,Digital Games And Software,83546786,3313743.44,1808673,46.19,03-05-2016 00:00
